,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geography,,,,,,Total Population,,,,,Hispanic/Latino (of any race),,,,,White non-Hispanic,,,,,Black non-Hispanic,,,,,Asian non-Hispanic,,,,
Orig Order,GeoType,Borough,GeoID,Name,NTA Type,Pop_10,Pop_20,Pop Change,Natural Change,Net Migration,Hsp_10,Hsp_20,Pop Change,Natural Change,Net Migration,WNH_10,WNH_20,Pop Change,Natural Change,Net Migration,BNH_10,BNH_20,Pop Change,Natural Change,Net Migration,ANH_10,ANH_20,Pop Change,Natural Change,Net Migration
24,NTA2020,Brooklyn,BK0504,Spring Creek-Starrett City,0,"13,676","17,038","3,362",-832,"4,194","2,431","3,344",913,-28,941,"3,295","2,595",-700,-800,100,"7,306","9,873","2,567",9,"2,558",390,424,34,2,32
25,NTA2020,Brooklyn,BK0505,East New York-City Line,0,"42,017","45,559","3,542","4,308",-766,"13,352","13,370",18,"1,326","-1,308",802,805,3,-32,35,"20,554","18,506","-2,048","1,640","-3,688","5,228","9,337","4,109","1,394","2,715"
26,NTA2020,Brooklyn,BK0571,Highland Park-Cypress Hills Cemeteries (South),7,6,7,1,0,1,0,5,5,0,5,0,0,0,0,0,5,0,-5,0,-5,0,0,0,0,0
27,NTA2020,Brooklyn,BK0601,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,0,"53,756","59,166","5,410","5,826",-416,"13,098","12,042","-1,056",541,"-1,597","28,888","32,342","3,454","4,240",-786,"7,676","7,280",-396,199,-595,"2,522","3,924","1,402",630,772
28,NTA2020,Brooklyn,BK0602,Park Slope,0,"53,502","57,405","3,903","6,743","-2,840","6,780","6,701",-79,428,-507,"37,909","38,668",759,"5,215","-4,456","3,671","3,363",-308,-53,-255,"3,141","4,641","1,500",937,563
29,NTA2020,Brooklyn,BK0701,Windsor Terrace-South Slope,0,"22,554","23,622","1,068","2,140","-1,072","3,814","3,430",-384,230,-614,"15,089","15,463",374,"1,513","-1,139","1,124",876,-248,20,-268,"1,786","2,200",414,287,127
30,NTA2020,Brooklyn,BK0702,Sunset Park (West),0,"52,189","54,473","2,284","5,204","-2,920","34,296","30,638","-3,658","3,506","-7,164","9,497","12,073","2,576",709,"1,867","2,056","2,740",684,107,577,"5,409","7,139","1,730",793,937
31,NTA2020,Brooklyn,BK0703,Sunset Park (Central),0,"51,806","55,606","3,800","13,258","-9,458","19,086","18,226",-860,"2,380","-3,240","5,101","4,509",-592,236,-828,547,610,63,39,24,"26,340","31,444","5,104","10,570","-5,466"
32,NTA2020,Brooklyn,BK0771,Green-Wood Cemetery,7,5,5,0,0,0,2,2,0,0,0,3,0,-3,0,-3,0,0,0,0,0,0,2,2,0,2
33,NTA2020,Brooklyn,BK0801,Prospect Heights,0,"19,849","23,515","3,666","2,538","1,128","2,275","2,445",170,155,15,"9,359","12,672","3,313","1,955","1,358","5,979","4,520","-1,459",-81,"-1,378","1,316","2,041",725,402,323
34,NTA2020,Brooklyn,BK0802,Crown Heights (North),0,"76,961","85,275","8,314","4,831","3,483","9,248","11,732","2,484",784,"1,700","7,060","18,774","11,714","1,825","9,889","57,179","45,217","-11,962","1,757","-13,719","1,433","3,461","2,028",337,"1,691"
35,NTA2020,Brooklyn,BK0891,Lincoln Terrace Park,9,0,15,15,0,15,0,7,7,0,7,0,3,3,0,3,0,3,3,0,3,0,0,0,0,0
36,NTA2020,Brooklyn,BK0901,Crown Heights (South),0,"50,405","50,590",185,"5,757","-5,572","4,507","4,997",490,287,203,"12,836","16,111","3,275","4,131",-856,"31,695","24,907","-6,788","1,145","-7,933",323,931,608,99,509
37,NTA2020,Brooklyn,BK0902,Prospect Lefferts Gardens-Wingate,0,"45,808","49,513","3,705","3,274",431,"4,438","5,266",828,183,645,"5,882","12,050","6,168","2,199","3,969","33,471","26,859","-6,612",698,"-7,310",836,"1,610",774,143,631
38,NTA2020,Brooklyn,BK1001,Bay Ridge,0,"80,916","86,779","5,863","5,893",-30,"12,612","16,310","3,698","1,842","1,856","54,116","51,417","-2,699","2,309","-5,008","1,293","1,840",547,194,353,"10,837","13,662","2,825","1,278","1,547"
39,NTA2020,Brooklyn,BK1002,Dyker Heights,0,"41,378","46,756","5,378","3,298","2,080","4,920","6,486","1,566",843,723,"21,530","16,960","-4,570",-380,"-4,190",200,357,157,57,100,"14,271","22,042","7,771","2,734","5,037"
40,NTA2020,Brooklyn,BK1061,Fort Hamilton,6,764,775,11,137,-126,244,189,-55,40,-95,239,319,80,58,22,188,105,-83,21,-104,47,81,34,12,22
41,NTA2020,Brooklyn,BK1091,Dyker Beach Park,9,0,9,9,1,8,0,2,2,0,2,0,3,3,1,2,0,0,0,0,0,0,0,0,0,0
42,NTA2020,Brooklyn,BK1101,Bensonhurst,0,"96,036","104,934","8,898","7,644","1,254","13,522","18,064","4,542","2,441","2,101","46,138","36,545","-9,593","1,164","-10,757",609,"1,078",469,107,362,"34,364","46,034","11,670","3,804","7,866"
43,NTA2020,Brooklyn,BK1102,Bath Beach,0,"29,931","33,070","3,139","2,233",906,"3,894","4,695",801,718,83,"16,389","13,227","-3,162",165,"-3,327",273,443,170,66,104,"8,953","13,543","4,590","1,223","3,367"
44,NTA2020,Brooklyn,BK1103,Gravesend (West),0,"55,669","60,523","4,854","3,297","1,557","6,761","8,579","1,818","1,139",679,"27,795","22,331","-5,464",-54,"-5,410",472,841,369,60,309,"19,735","26,717","6,982","2,128","4,854"
